p = 0.29, q = 0.04, eq_value = 0.0000
p = 0.30, q = 0.04, eq_value = 0.0000
p = 0.31, q = 0.04, eq_value = 0.0000
p = 0.32, q = 0.04, eq_value = 0.0000
p = 0.33, q = 0.04, eq_value = 0.0000
p = 0.34, q = 0.04, eq_value = 0.0000
p = 0.35, q = 0.04, eq_value = 0.0000
p = 0.36, q = 0.04, eq_value = 0.0000
p = 0.37, q = 0.04, eq_value = 0.0000
p = 0.38, q = 0.04, eq_value = 0.0000
p = 0.39, q = 0.04, eq_value = 0.0000
p = 0.40, q = 0.04, eq_value = 0.0000
p = 0.41, q = 0.04, eq_value = 0.0000
p = 0.42, q = 0.04, eq_value = 0.0000
p = 0.43, q = 0.04, eq_value = 0.0000
p = 0.44, q = 0.04, eq_value = 0.0000
p = 0.45, q = 0.04, eq_value = 0.0000
p = 0.46, q = 0.04, eq_value = 0.0000
p = 0.47, q = 0.04, eq_value = 0.0000
p = 0.48, q = 0.04, eq_value = 0.0000
p = 0.49, q = 0.04, eq_value = 0.0000
p = 0.50, q = 0.04, eq_value = 0.0000
p = 0.51, q = 0.04, eq_value = 0.0000
p = 0.52, q = 0.04, eq_value = 0.0000
p = 0.53, q = 0.04, eq_value = 0.0000
p = 0.54, q = 0.04, eq_value = 0.0000
p = 0.55, q = 0.04, eq_value = 0.0000
p = 0.56, q = 0.04, eq_value = 0.0000
p = 0.57, q = 0.04, eq_value = 0.0001
p = 0.58, q = 0.04, eq_value = 0.0007
p = 0.59, q = 0.04, eq_value = 0.0037
p = 0.60, q = 0.04, eq_value = 0.0178
p = 0.61, q = 0.04, eq_value = 0.0534
p = 0.62, q = 0.04, eq_value = 0.1214
p = 0.63, q = 0.04, eq_value = 0.1938
p = 0.64, q = 0.04, eq_value = 0.2606
p = 0.65, q = 0.04, eq_value = 0.3158
p = 0.66, q = 0.04, eq_value = 0.3616
p = 0.67, q = 0.04, eq_value = 0.4046
p = 0.68, q = 0.04, eq_value = 0.4413
p = 0.69, q = 0.04, eq_value = 0.4758
p = 0.70, q = 0.04, eq_value = 0.5079
p = 0.71, q = 0.04, eq_value = 0.5357
p = 0.72, q = 0.04, eq_value = 0.5671
p = 0.73, q = 0.04, eq_value = 0.5930
p = 0.74, q = 0.04, eq_value = 0.6164
p = 0.75, q = 0.04, eq_value = 0.6415
p = 0.76, q = 0.04, eq_value = 0.6621
p = 0.77, q = 0.04, eq_value = 0.6857
p = 0.78, q = 0.04, eq_value = 0.7053
p = 0.79, q = 0.04, eq_value = 0.7240
p = 0.80, q = 0.04, eq_value = 0.7411
p = 0.81, q = 0.04, eq_value = 0.7603
p = 0.82, q = 0.04, eq_value = 0.7764
p = 0.83, q = 0.04, eq_value = 0.7934
p = 0.84, q = 0.04, eq_value = 0.8097
p = 0.85, q = 0.04, eq_value = 0.8249
p = 0.86, q = 0.04, eq_value = 0.8389
p = 0.87, q = 0.04, eq_value = 0.8526
p = 0.88, q = 0.04, eq_value = 0.8657
p = 0.89, q = 0.04, eq_value = 0.8802
p = 0.90, q = 0.04, eq_value = 0.8917
p = 0.91, q = 0.04, eq_value = 0.9043
p = 0.92, q = 0.04, eq_value = 0.9159
p = 0.93, q = 0.04, eq_value = 0.9278
p = 0.94, q = 0.04, eq_value = 0.9397
p = 0.95, q = 0.04, eq_value = 0.9500
p = 0.96, q = 0.04, eq_value = 0.9602
p = 0.97, q = 0.04, eq_value = 0.9708
p = 0.98, q = 0.04, eq_value = 0.9810
p = 0.99, q = 0.04, eq_value = 0.9907
p = 0.00, q = 0.05, eq_value = 0.0000
p = 0.01, q = 0.05, eq_value = 0.0000
p = 0.02, q = 0.05, eq_value = 0.0000
p = 0.03, q = 0.05, eq_value = 0.0000
p = 0.04, q = 0.05, eq_value = 0.0000
p = 0.05, q = 0.05, eq_value = 0.0000
p = 0.06, q = 0.05, eq_value = 0.0000
p = 0.07, q = 0.05, eq_value = 0.0000
p = 0.08, q = 0.05, eq_value = 0.0000
p = 0.09, q = 0.05, eq_value = 0.0000
p = 0.10, q = 0.05, eq_value = 0.0000
p = 0.11, q = 0.05, eq_value = 0.0000
p = 0.12, q = 0.05, eq_value = 0.0000
